year,sex,bin_index,pop,lower,upper,label,CRS_relevant
2030,F,1,584233,0,0,0,FALSE
2030,F,2,582572,1,1,1,FALSE
2030,F,3,581163,2,2,2,FALSE
2030,F,4,579949,3,3,3,FALSE
2030,F,5,578896,4,4,4,FALSE
2030,F,6,577964,5,5,5,FALSE
2030,F,7,575707,6,6,6,FALSE
2030,F,8,573834,7,7,7,FALSE
2030,F,9,599051,8,8,8,FALSE
2030,F,10,611863,9,9,9,FALSE
2030,F,11,592567,10,10,10,FALSE
2030,F,12,574155,11,11,11,FALSE
2030,F,13,550563,12,12,12,FALSE
2030,F,14,530115,13,13,13,FALSE
2030,F,15,517649,14,14,14,FALSE
2030,F,16,2659203,15,19,15-19,TRUE
2030,F,17,2864131,20,24,20-24,TRUE
2030,F,18,2597365,25,29,25-29,TRUE
2030,F,19,2703465,30,34,30-34,TRUE
2030,F,20,2819999,35,39,35-39,TRUE
2030,F,21,2673442,40,44,40-44,TRUE
2030,F,22,2345148,45,49,45-49,FALSE
2030,F,23,1831117,50,54,50-54,FALSE
2030,F,24,1503715,55,59,55-59,FALSE
2030,F,25,1305626,60,64,60-64,FALSE
2030,F,26,1149008,65,69,65-69,FALSE
2030,F,27,888455,70,74,70-74,FALSE
2030,F,28,1207669,75,Inf,75+,FALSE
2030,M,1,603736,0,0,0,FALSE
2030,M,2,601145,1,1,1,FALSE
2030,M,3,598953,2,2,2,FALSE
2030,M,4,597119,3,3,3,FALSE
2030,M,5,595505,4,4,4,FALSE
2030,M,6,594114,5,5,5,FALSE
2030,M,7,591794,6,6,6,FALSE
2030,M,8,589969,7,7,7,FALSE
2030,M,9,605407,8,8,8,FALSE
2030,M,10,609328,9,9,9,FALSE
2030,M,11,590829,10,10,10,FALSE
2030,M,12,573113,11,11,11,FALSE
2030,M,13,550648,12,12,12,FALSE
2030,M,14,531001,13,13,13,FALSE
2030,M,15,519292.00000000006,14,14,14,FALSE
2030,M,16,2668664,15,19,15-19,TRUE
2030,M,17,2880431,20,24,20-24,TRUE
2030,M,18,2627932,25,29,25-29,TRUE
2030,M,19,2656954,30,34,30-34,TRUE
2030,M,20,2703277,35,39,35-39,TRUE
2030,M,21,2584597,40,44,40-44,TRUE
2030,M,22,2269178,45,49,45-49,FALSE
2030,M,23,1726879,50,54,50-54,FALSE
2030,M,24,1295623,55,59,55-59,FALSE
2030,M,25,1004297,60,64,60-64,FALSE
2030,M,26,811237,65,69,65-69,FALSE
2030,M,27,590227,70,74,70-74,FALSE
2030,M,28,643103,75,Inf,75+,FALSE
2031,F,1,585449,0,0,0,FALSE
2031,F,2,584086,1,1,1,FALSE
2031,F,3,582933,2,2,2,FALSE
2031,F,4,581880,3,3,3,FALSE
2031,F,5,580835,4,4,4,FALSE
2031,F,6,579841,5,5,5,FALSE
2031,F,7,578904,6,6,6,FALSE
2031,F,8,576607,7,7,7,FALSE
2031,F,9,574679,8,8,8,FALSE
2031,F,10,599822,9,9,9,FALSE
2031,F,11,612558,10,10,10,FALSE
2031,F,12,593189,11,11,11,FALSE
2031,F,13,574700,12,12,12,FALSE
2031,F,14,551032,13,13,13,FALSE
2031,F,15,530529,14,14,14,FALSE
2031,F,16,2641953,15,19,15-19,TRUE
2031,F,17,2881379,20,24,20-24,TRUE
2031,F,18,2648939,25,29,25-29,TRUE
2031,F,19,2650714,30,34,30-34,TRUE
2031,F,20,2802433,35,39,35-39,TRUE
2031,F,21,2700612,40,44,40-44,TRUE
2031,F,22,2416031,45,49,45-49,FALSE
2031,F,23,1913812,50,54,50-54,FALSE
2031,F,24,1529479,55,59,55-59,FALSE
2031,F,25,1323674,60,64,60-64,FALSE
2031,F,26,1156441,65,69,65-69,FALSE
2031,F,27,916525,70,74,70-74,FALSE
2031,F,28,1261751,75,Inf,75+,FALSE
2031,M,1,604954,0,0,0,FALSE
2031,M,2,602628,1,1,1,FALSE
2031,M,3,600662,2,2,2,FALSE
2031,M,4,598966,3,3,3,FALSE
2031,M,5,597413,4,4,4,FALSE
2031,M,6,595946,5,5,5,FALSE
2031,M,7,594615,6,6,6,FALSE
2031,M,8,592307,7,7,7,FALSE
2031,M,9,590461,8,8,8,FALSE
2031,M,10,605851,9,9,9,FALSE
2031,M,11,609716,10,10,10,FALSE
2031,M,12,591159,11,11,11,FALSE
2031,M,13,573375,12,12,12,FALSE
2031,M,14,550836,13,13,13,FALSE
2031,M,15,531134,14,14,14,FALSE
2031,M,16,2649084,15,19,15-19,TRUE
2031,M,17,2893076,20,24,20-24,TRUE
2031,M,18,2669900,25,29,25-29,TRUE
2031,M,19,2619860,30,34,30-34,TRUE
2031,M,20,2678584,35,39,35-39,TRUE
2031,M,21,2600064,40,44,40-44,TRUE
2031,M,22,2324486,45,49,45-49,FALSE
2031,M,23,1813015,50,54,50-54,FALSE
2031,M,24,1330454,55,59,55-59,FALSE
2031,M,25,1028917,60,64,60-64,FALSE
2031,M,26,813058,65,69,65-69,FALSE
2031,M,27,604930,70,74,70-74,FALSE
2031,M,28,677221,75,Inf,75+,FALSE
