year,sex,age,mu
2031,M,24,0.0026849459586122497
2031,M,25,0.0040620589474982816
2031,M,26,0.0040620589474982816
2031,M,27,0.0040620589474982816
2031,M,28,0.0040620589474982816
2031,M,29,0.0040620589474982816
2031,M,30,0.005416198449946011
2031,M,31,0.005416198449946011
2031,M,32,0.005416198449946011
2031,M,33,0.005416198449946011
2031,M,34,0.005416198449946011
2031,M,35,0.006999123092501195
2031,M,36,0.006999123092501195
2031,M,37,0.006999123092501195
2031,M,38,0.006999123092501195
2031,M,39,0.006999123092501195
2031,M,40,0.009119781330543846
2031,M,41,0.009119781330543846
2031,M,42,0.009119781330543846
2031,M,43,0.009119781330543846
2031,M,44,0.009119781330543846
2031,M,45,0.012336805682897566
2031,M,46,0.012336805682897566
2031,M,47,0.012336805682897566
2031,M,48,0.012336805682897566
2031,M,49,0.012336805682897566
2031,M,50,0.016803277290926344
2031,M,51,0.016803277290926344
2031,M,52,0.016803277290926344
2031,M,53,0.016803277290926344
2031,M,54,0.016803277290926344
2031,M,55,0.0229866173742305
2031,M,56,0.0229866173742305
2031,M,57,0.0229866173742305
2031,M,58,0.0229866173742305
2031,M,59,0.0229866173742305
2031,M,60,0.031094373108440664
2031,M,61,0.031094373108440664
2031,M,62,0.031094373108440664
2031,M,63,0.031094373108440664
2031,M,64,0.031094373108440664
2031,M,65,0.04271390082362907
2031,M,66,0.04271390082362907
2031,M,67,0.04271390082362907
2031,M,68,0.04271390082362907
2031,M,69,0.04271390082362907
2031,M,70,0.0559603474695551
2031,M,71,0.0559603474695551
2031,M,72,0.0559603474695551
2031,M,73,0.0559603474695551
2031,M,74,0.0559603474695551
2031,M,75,0.07539955210197917
2031,M,76,0.07539955210197917
2031,M,77,0.07539955210197917
2031,M,78,0.07539955210197917
2031,M,79,0.07539955210197917
2031,M,80,0.09380884991951917
2031,M,81,0.09380884991951917
2031,M,82,0.09380884991951917
2031,M,83,0.09380884991951917
2031,M,84,0.09380884991951917
2031,M,85,0.12788205624167376
